,high_season,min_diff,delay_15,period_day
0,1,3.0,0,night
1,1,9.0,0,night
2,1,9.0,0,night
3,1,3.0,0,night
4,1,-2.0,0,night
5,1,34.0,1,night
6,1,-5.0,0,night
7,1,-5.0,0,night
8,1,40.0,1,night
9,1,69.0,1,night
10,1,-9.0,0,night
11,1,14.0,0,night
12,1,-7.0,0,night
13,1,-4.0,0,night
14,1,-11.0,0,night
15,1,-9.0,0,night
16,1,-9.0,0,night
17,1,-12.0,0,night
18,1,15.0,0,night
19,1,-2.0,0,night
20,1,2.0,0,night
21,1,8.0,0,night
22,1,-5.0,0,night
23,1,52.0,1,night
24,1,-5.0,0,night
25,1,0.0,0,night
26,1,26.0,1,night
27,1,-3.0,0,night
28,1,-5.0,0,night
29,1,2.0,0,night
30,1,2.0,0,night
31,1,-7.0,0,night
32,1,-1.0,0,night
33,1,5.0,0,night
34,1,-4.0,0,night
35,1,1.0,0,night
36,1,-5.0,0,night
37,1,3.0,0,night
38,1,-2.0,0,night
39,1,-4.0,0,night
40,1,-6.0,0,night
41,1,4.0,0,night
42,1,-4.0,0,night
43,1,-4.0,0,night
44,1,-9.0,0,night
45,1,-10.0,0,night
46,1,0.0,0,night
47,1,-2.0,0,night
48,1,1.0,0,night
49,1,-4.0,0,night
50,1,10.0,0,night
51,1,20.0,1,night
52,1,11.0,0,night
53,1,24.0,1,night
54,1,-5.0,0,night
55,1,-7.0,0,night
56,1,14.0,0,night
57,1,5.0,0,night
58,1,0.0,0,night
59,1,25.0,1,night
60,1,1.0,0,night
61,1,0.0,0,night
62,1,-4.0,0,night
63,1,13.0,0,night
64,1,-3.0,0,night
65,1,2.0,0,night
66,1,-5.0,0,night
67,1,0.0,0,night
68,1,-2.0,0,night
69,1,3.0,0,night
70,1,-9.0,0,night
71,1,5.0,0,night
72,1,-3.0,0,night
73,1,-4.0,0,night
74,1,-10.0,0,night
75,1,-9.0,0,night
76,1,62.0,1,night
77,1,2.0,0,night
78,1,-8.0,0,night
79,1,19.0,1,afternoon
80,1,60.0,1,afternoon
81,1,17.0,1,afternoon
82,1,26.0,1,afternoon
83,1,14.0,0,afternoon
84,1,67.0,1,afternoon
85,1,84.0,1,afternoon
86,1,63.0,1,afternoon
87,1,97.0,1,afternoon
88,1,17.0,1,afternoon
89,1,90.0,1,afternoon
90,1,130.0,1,afternoon
91,1,24.0,1,afternoon
92,1,77.0,1,afternoon
93,1,32.0,1,afternoon
94,1,39.0,1,afternoon
95,1,48.0,1,afternoon
96,1,6.0,0,afternoon
97,1,2.0,0,afternoon
98,1,28.0,1,afternoon
99,1,11.0,0,afternoon
100,1,33.0,1,afternoon
101,1,69.0,1,afternoon
102,1,20.0,1,afternoon
103,1,3.0,0,afternoon
104,1,22.0,1,afternoon
105,1,21.0,1,afternoon
106,1,22.0,1,afternoon
107,1,27.0,1,afternoon
108,1,6.0,0,afternoon
109,1,20.0,1,night
110,1,17.0,1,night
111,1,19.0,1,night
112,1,47.0,1,night
113,1,5.0,0,night
114,1,63.0,1,night
115,1,55.0,1,night
116,1,53.0,1,night
117,1,105.0,1,night
118,1,20.0,1,night
119,1,72.0,1,night
120,1,26.0,1,night
121,1,99.0,1,night
122,1,52.0,1,night
123,1,33.0,1,night
124,1,147.0,1,night
125,1,18.0,1,night
126,1,25.0,1,night
127,1,5.0,0,night
128,1,21.0,1,night
129,1,13.0,0,night
130,1,21.0,1,night
131,1,11.0,0,night
132,1,-4.0,0,night
133,1,-1.0,0,night
134,1,8.0,0,night
135,1,6.0,0,night
136,1,-4.0,0,night
137,1,6.0,0,night
138,1,-4.0,0,afternoon
139,1,0.0,0,afternoon
140,1,3.0,0,afternoon
141,1,-1.0,0,afternoon
142,1,-10.0,0,afternoon
143,1,16.0,1,afternoon
144,1,-1.0,0,afternoon
145,1,1.0,0,afternoon
146,1,14.0,0,afternoon
147,1,8.0,0,afternoon
148,1,7.0,0,afternoon
149,1,7.0,0,afternoon
150,1,5.0,0,afternoon
151,1,17.0,1,afternoon
152,1,1.0,0,afternoon
153,1,12.0,0,afternoon
154,1,-3.0,0,afternoon
155,1,33.0,1,afternoon
156,1,6.0,0,afternoon
157,1,-4.0,0,afternoon
158,1,8.0,0,afternoon
159,1,7.0,0,afternoon
160,1,-1.0,0,afternoon
161,1,3.0,0,afternoon
162,1,-7.0,0,afternoon
163,1,12.0,0,afternoon
164,1,-2.0,0,afternoon
165,1,7.0,0,afternoon
166,1,14.0,0,afternoon
167,1,14.0,0,afternoon
168,1,-5.0,0,afternoon
169,1,-11.0,0,night
170,1,13.0,0,night
171,1,-2.0,0,night
172,1,-12.0,0,night
173,1,7.0,0,night
174,1,-1.0,0,night
175,1,14.0,0,night
176,1,-7.0,0,night
177,1,-6.0,0,night
178,1,0.0,0,night
179,1,-3.0,0,night
180,1,-9.0,0,night
181,1,-4.0,0,night
182,1,-2.0,0,night
183,1,-7.0,0,night
184,1,-3.0,0,night
185,1,1.0,0,night
186,1,4.0,0,night
187,1,-9.0,0,night
188,1,138.0,1,night
189,1,-1.0,0,night
190,1,-13.0,0,night
191,1,-11.0,0,night
192,1,-11.0,0,night
193,1,-9.0,0,night
194,1,-7.0,0,night
195,1,-5.0,0,night
196,1,-1.0,0,night
197,1,-2.0,0,night
198,1,13.0,0,night
199,1,-9.0,0,night
200,1,-1.0,0,night
201,1,-10.0,0,morning
202,1,2.0,0,morning
203,1,-2.0,0,morning
204,1,31.0,1,morning
205,1,18.0,1,morning
206,1,-13.0,0,morning
207,1,-6.0,0,morning
208,1,0.0,0,morning
209,1,20.0,1,morning
210,1,8.0,0,morning
211,1,11.0,0,morning
212,1,-8.0,0,morning
213,1,88.0,1,morning
214,1,17.0,1,morning
215,1,27.0,1,morning
216,1,2.0,0,morning
217,1,1.0,0,morning
218,1,33.0,1,morning
219,1,11.0,0,morning
220,1,2.0,0,morning
221,1,10.0,0,morning
222,1,-5.0,0,morning
223,1,-1.0,0,morning
224,1,-12.0,0,morning
225,1,-5.0,0,morning
226,1,-3.0,0,morning
227,1,-10.0,0,morning
228,1,3.0,0,morning
229,1,1.0,0,morning
230,1,1.0,0,morning
231,1,35.0,1,morning
232,1,-11.0,0,morning
233,1,-11.0,0,morning
234,1,-10.0,0,morning
235,1,6.0,0,morning
236,1,14.0,0,morning
237,1,-7.0,0,morning
238,1,-11.0,0,morning
239,1,0.0,0,morning
240,1,5.0,0,morning
241,1,18.0,1,morning
242,1,-8.0,0,morning
243,1,-1.0,0,morning
244,1,-11.0,0,morning
245,1,17.0,1,morning
246,1,15.0,0,morning
247,1,1.0,0,morning
248,1,-4.0,0,morning
249,1,30.0,1,morning
250,1,-13.0,0,morning
251,1,-4.0,0,morning
252,1,-5.0,0,morning
253,1,-6.0,0,morning
254,1,-7.0,0,afternoon
255,1,5.0,0,afternoon
256,1,25.0,1,afternoon
257,1,4.0,0,afternoon
258,1,-10.0,0,afternoon
259,1,11.0,0,afternoon
260,1,-14.0,0,afternoon
261,1,-2.0,0,afternoon
262,1,-3.0,0,afternoon
263,1,7.0,0,afternoon
264,1,9.0,0,afternoon
265,1,42.0,1,afternoon
266,1,9.0,0,afternoon
267,1,4.0,0,afternoon
268,1,-9.0,0,afternoon
269,1,-8.0,0,afternoon
270,1,-7.0,0,afternoon
271,1,6.0,0,afternoon
272,1,-5.0,0,afternoon
273,1,0.0,0,afternoon
274,1,-9.0,0,afternoon
275,1,-6.0,0,afternoon
276,1,1.0,0,afternoon
277,1,-2.0,0,afternoon
278,1,-3.0,0,afternoon
279,1,1.0,0,afternoon
280,1,-3.0,0,afternoon
281,1,-4.0,0,afternoon
282,1,-3.0,0,afternoon
283,1,-12.0,0,afternoon
284,1,14.0,0,afternoon
285,1,-6.0,0,night
286,1,-1.0,0,night
287,1,28.0,1,night
288,1,-1.0,0,night
289,1,-1.0,0,night
290,1,-8.0,0,night
291,1,8.0,0,night
292,1,12.0,0,night
293,1,-8.0,0,night
294,1,-3.0,0,night
295,1,37.0,1,night
296,1,4.0,0,night
297,1,7.0,0,night
298,1,-3.0,0,night
299,1,9.0,0,night
300,1,-1.0,0,night
301,1,-4.0,0,night
302,1,3.0,0,night
303,1,-6.0,0,night
304,1,8.0,0,night
305,1,7.0,0,night
306,1,-7.0,0,night
307,1,-2.0,0,night
308,1,-8.0,0,night
309,1,1.0,0,night
310,1,-14.0,0,night
311,1,-10.0,0,night
312,1,-11.0,0,night
313,1,-2.0,0,night
314,1,27.0,1,morning
315,1,4.0,0,morning
316,1,-2.0,0,morning
317,1,15.0,0,morning
318,1,1.0,0,night
319,1,3.0,0,night
320,1,22.0,1,night
321,1,26.0,1,night
322,1,4.0,0,night
323,1,14.0,0,night
324,1,7.0,0,night
325,1,87.0,1,night
326,1,-1.0,0,night
327,1,-14.0,0,night
328,1,0.0,0,night
329,1,27.0,1,night
330,1,8.0,0,night
331,1,10.0,0,night
332,1,5.0,0,night
333,1,1.0,0,night
334,1,-9.0,0,night
335,1,15.0,0,night
336,1,1.0,0,night
337,1,21.0,1,night
338,1,-1.0,0,night
339,1,-13.0,0,night
340,1,21.0,1,night
341,1,-5.0,0,night
342,1,-2.0,0,night
343,1,6.0,0,night
344,1,-1.0,0,night
345,1,-2.0,0,night
346,1,-8.0,0,night
347,1,-6.0,0,morning
348,1,3.0,0,morning
349,1,16.0,1,morning
350,1,65.0,1,afternoon
351,1,27.0,1,morning
352,1,0.0,0,morning
353,1,-2.0,0,morning
354,1,2.0,0,morning
355,1,-2.0,0,morning
356,1,-7.0,0,morning
357,1,-3.0,0,morning
358,1,40.0,1,morning
359,1,11.0,0,morning
360,1,-3.0,0,morning
361,1,16.0,1,morning
362,1,13.0,0,morning
363,1,1.0,0,morning
364,1,13.0,0,morning
365,1,-2.0,0,morning
366,1,-3.0,0,morning
367,1,-7.0,0,morning
368,1,28.0,1,morning
369,1,0.0,0,morning
370,1,5.0,0,morning
371,1,-1.0,0,morning
372,1,-8.0,0,morning
373,1,7.0,0,morning
374,1,-9.0,0,morning
375,1,3.0,0,morning
376,1,38.0,1,afternoon
377,1,6.0,0,afternoon
378,1,2.0,0,afternoon
379,1,19.0,1,afternoon
380,1,15.0,0,afternoon
381,1,27.0,1,afternoon
382,1,59.0,1,afternoon
383,1,14.0,0,afternoon
384,1,-3.0,0,afternoon
385,1,14.0,0,afternoon
386,1,19.0,1,afternoon
387,1,5.0,0,afternoon
388,1,13.0,0,afternoon
389,1,19.0,1,afternoon
390,1,10.0,0,afternoon
391,1,37.0,1,afternoon
392,1,23.0,1,afternoon
393,1,11.0,0,afternoon
394,1,7.0,0,afternoon
395,1,15.0,0,afternoon
396,1,1.0,0,afternoon
397,1,15.0,0,afternoon
398,1,30.0,1,afternoon
399,1,22.0,1,afternoon
400,1,37.0,1,afternoon
401,1,12.0,0,afternoon
402,1,0.0,0,afternoon
403,1,6.0,0,afternoon
404,1,21.0,1,afternoon
405,1,-2.0,0,afternoon
406,1,17.0,1,afternoon
407,1,8.0,0,morning
408,1,6.0,0,morning
409,1,5.0,0,night
410,1,-4.0,0,night
411,1,-10.0,0,night
412,1,12.0,0,night
413,1,-2.0,0,night
414,1,-13.0,0,night
415,1,-12.0,0,night
416,1,-10.0,0,night
417,1,-14.0,0,night
418,1,3.0,0,night
419,1,-6.0,0,night
420,1,-13.0,0,night
